游戏名称/编号,密码,下载地址1,下载地址2
上古卷轴5：天际周年纪念版,946811,https://pan.baidu.com/s/12vGHIrminuG44-61YcmcJg,https://cloud.189.cn/t/IFBJjuQvQNVz
幻想生活ｉ转圈圈的龙和偷取时间的少女,778507,https://pan.baidu.com/s/1KYpe6kkDrkR_2SF5bUfH6g,https://cloud.189.cn/t/FFZZfuyMZrqa
魔法门之英雄无敌 上古纪元,915884,https://pan.baidu.com/s/14Wj6YzwnsZo-SyM9iItHWg,https://cloud.189.cn/t/NfEbe2uuINRz
威赫战线,490302,https://pan.baidu.com/s/1l-s2Hed9RJ4o9G6-tkW6jA,https://cloud.189.cn/t/zquQJbJFNvqq
圣战群英传 统治,465256,https://pan.baidu.com/s/1sqe8biSCmHTGZ34LqXzd4g,https://cloud.189.cn/t/UFj2IzbArMNz
炎姬,867166,https://pan.baidu.com/s/1HDDTOwSNHeB7Zp0QtQYs4A,https://cloud.189.cn/t/fEVBvqmQV7jy
静谧田园,"=""013119""",https://pan.baidu.com/s/1WewOwBQXJTL8y8Nqq9XRdw,https://cloud.189.cn/t/Z7BzymqY7vMn
一起开火车2：汽笛重鸣,"=""065823""",https://pan.baidu.com/s/1o4WDVfLelAKi5tupBiF8zw,https://cloud.189.cn/t/iiem2mqMbQfe
云之国 Online,248613,https://pan.baidu.com/s/1ARs61itmpeR5BoN9ySSBiA,https://cloud.189.cn/t/JzIvAjbAzEfe
横跨方尖碑,431598,https://pan.baidu.com/s/1vo3tHobwiJwbXxsAENr1Uw,https://cloud.189.cn/t/F7biUfyQrqii
莎莉的脸,"=""012798""",https://pan.baidu.com/s/1q5l_890Z9cIc7t0lgyPOcw,https://cloud.189.cn/t/Inmm2iUni67r
铁尾传奇2 凛冬之战,416109,https://pan.baidu.com/s/1iEq1nXwC_KUvbxg5nssSyg,https://cloud.189.cn/t/rummYzj22aAb
终落之城,165121,https://pan.baidu.com/s/1UwJCuLU-ILMQZphcgkQPNQ,https://cloud.189.cn/t/26zae2eyAz2a
恐慌核心,408287,https://pan.baidu.com/s/1SDNamLUwNFEeZRdYLZhxsQ,https://cloud.189.cn/t/BjyqQzRzyyyq
Z3027,900476,https://pan.baidu.com/s/1ai9UmBHDAavrFpCRWW-_dw,https://cloud.189.cn/t/VNRV7ri2yEJz
末日准备狂,967604,https://pan.baidu.com/s/1fu595RYiZPE9IfqKDSlyNg,https://cloud.189.cn/t/Eny22me2eAZf
潜行者2 切尔诺贝利之心,830954,https://pan.baidu.com/s/1O-U8Q-1TYfJYR4lP-JpiLw,https://cloud.189.cn/t/73eAvuNVJbQr
群星 Online,"=""031410""",https://pan.baidu.com/s/18V5ZHvurbuJnMYqhv-EsyQ,https://cloud.189.cn/t/R7z6N3bmyUna
无人深空 Online,"=""022044""",https://pan.baidu.com/s/1MGDhPWXp9_qHKIYeW-KTSg,https://cloud.189.cn/t/QbqeEfzUfAve
勒芒终极赛,771874,https://pan.baidu.com/s/1H2m1giWWQAj8huW2ppK9xg,https://cloud.189.cn/t/AfERRrAZjAFn
铁拳8,792285,https://pan.baidu.com/s/1-KCpvf3FqcIbW_p1Ydzf0g,https://cloud.189.cn/t/yiUBzyfEryUf
巅峰,205777,https://pan.baidu.com/s/1_GLzHleZcx1ixAzf-qh63Q,https://cloud.189.cn/t/Jj6RVzUvyaue
流放者柯南,406113,https://pan.baidu.com/s/1Wku7-sVm-FqEsM5CWWfeuQ,https://cloud.189.cn/t/R3Ejia6nmeaa
恐怖黎明,545115,https://pan.baidu.com/s/1CTqgJc6gNkQ40oPY_ih7oA,https://cloud.189.cn/t/267RjyArQnqu
泰坦之旅2,"=""084095""",https://pan.baidu.com/s/1sivKqA3IShoBhVLRSI0zPQ,https://cloud.189.cn/t/VrAfE36zAfyq
苍翼 混沌效应,800175,https://pan.baidu.com/s/1i1BjeqQypDEMwi9-4T9snA,https://cloud.189.cn/t/2ae67nYvQjuq
禁闭求生2,545932,https://pan.baidu.com/s/1sxsgzW0CJs5z8YSyWZYwUA,https://cloud.189.cn/t/yYZf6zvaYVny
维修物语,203255,https://pan.baidu.com/s/1ntn90L9VDPBpZhk4YVegQQ,https://cloud.189.cn/t/nUv2queYneMn
萨妮羊研究室,611397,https://pan.baidu.com/s/1lBE495KJmxB9UsKqu4qIXw,https://cloud.189.cn/t/Q7jMN3qMrMRv
警区,289789,https://pan.baidu.com/s/1yy28CiU5kqpzpbZ2pM6dUA,https://cloud.189.cn/t/Y7riYbJjAFni
林中小女巫,681130,https://pan.baidu.com/s/1sOXrEiVm1vYfFdghR2wDjg,https://cloud.189.cn/t/6beq6j7bqYjq
命运石之门重启,800374,https://pan.baidu.com/s/1MNySgNO5sUb0TKQ1kjj7_A,https://cloud.189.cn/t/VfQfEjYZNBJz
挪威 血誓,"=""098761""",https://pan.baidu.com/s/1HCe-ASNmRMfjpWnaa5XH-w,https://cloud.189.cn/t/rIVfi2IZvmya
凶影疑云,"=""006962""",https://pan.baidu.com/s/1J2ZLzMYFofxviw5HgN4cVw,https://cloud.189.cn/t/ERzuAvfueAri
月光岭物语,126768,https://pan.baidu.com/s/1lkFG3mlvuFmHMkClMUuuYQ,https://cloud.189.cn/t/VfieEnRvUjAz
电车炫客,655626,https://pan.baidu.com/s/17xtUVxFPSjTGq0Nol-tQcw,https://cloud.189.cn/t/rea2eujaMrMr
古墓丽影1.2.3重制版,342956,https://pan.baidu.com/s/1D6dqB0AQ5mKtWsSFBvjUWg,https://cloud.189.cn/t/MnEVBvmARr2e
世界摩托大奖赛26 Online,821012,https://pan.baidu.com/s/1_3XDDW7Hgeafo9ZDmw4OgQ,https://cloud.189.cn/t/JBzIzqBZ7Vna
寻日之旅,974445,https://pan.baidu.com/s/1wz7FpwCjpFx-duMpY449bg,https://cloud.189.cn/t/3myAvm77F7be
灾厄堡垒,633679,https://pan.baidu.com/s/1CIcFeWHl-tUJrCrnn7QC-g,https://cloud.189.cn/t/3YBZfuVZRFVj
全球救援,464687,https://pan.baidu.com/s/15iSgDnDTVtiJcq89v3RTmw,https://cloud.189.cn/t/NZ7Z7beaM3Y3
骰死地牢,"=""022304""",https://pan.baidu.com/s/1pS0HcxNT_raGmvLUry4OUQ,https://cloud.189.cn/t/iEFbaaYveQ3i
铁锤守卫英雄传2,237371,https://cloud.189.cn/t/ERva22MveUjq,https://cloud.189.cn/t/ERva22MveUjq
土丘克苏鲁恶兆 Online,302463,https://pan.baidu.com/s/1ZZOEnJTSv4JYG9ybnqzacg,https://cloud.189.cn/t/JbqiEnEJfaAj
午夜轮班,801689,https://pan.baidu.com/s/10KaoMyJIR6h0kOV1lUus9w,https://cloud.189.cn/t/f6nqAbrEvYZr
海员人生 行船模拟,718085,https://pan.baidu.com/s/1SVvpyBkBH6erGPiNvmV78g,https://cloud.189.cn/t/Nvq2eyfYzQva
浣熊推币机,774326,https://pan.baidu.com/s/1uBXzz9kb6lrKZOwXiM9G-A,https://cloud.189.cn/t/ZJnYZrFfYvyi
深入后室 Online,731643,https://pan.baidu.com/s/1SbuMY2XbpOQa3OT3ObeGqw,https://cloud.189.cn/t/aayiUfAnIR3u
Sledders,"=""050208""",https://pan.baidu.com/s/1s0h4w6v60PtA-ZfeNicGqw,https://cloud.189.cn/t/MZrmQnjUj2yy
消防模拟器,568591,https://pan.baidu.com/s/1ZL3ArkJhRZTW_mhx0gWZDA,https://cloud.189.cn/t/RBviuuauQZFv
王牌空军基地,861950,https://pan.baidu.com/s/1lUDAxv7sdIAT_DVKSeOiag,https://cloud.189.cn/t/eyyENbaqyaEn
元素之力 重铸,101563,https://pan.baidu.com/s/1Ntvx_dY-YsePBuAaOon4xw,https://cloud.189.cn/t/6Rjqiazmqume
数字魅影: 极限竞赛,405727,https://pan.baidu.com/s/1jlb3sN3ADcPae83D8wqwNA,https://cloud.189.cn/t/EBFFVb7ZfURb
Z5021,710111,https://pan.baidu.com/s/1I56HlvwXONqMk_Tmpm_ZgA,https://cloud.189.cn/t/mqMJBzBFBjm2
泰拉瑞亚,341713,https://pan.baidu.com/s/1wNLsPjyb9ldkdjnMO88KFQ,https://cloud.189.cn/t/iAnQNv2qyMv2
毁灭战士：永恒,629207,https://pan.baidu.com/s/1Fy3UKxaR09h7wr4XxEWB1Q,https://cloud.189.cn/t/m2qAFneUnimy
消逝的光芒2重装上阵版,"=""066585""",https://pan.baidu.com/s/1kxofTITsHD0i2t5IIOm32A,https://cloud.189.cn/t/Qn6VzyQzM7fm
深海迷航2 异星水域,137922,https://pan.baidu.com/s/1ur23Gt_jOmB2ve-sQ6HhkQ,https://cloud.189.cn/t/qYfaumfEZbIz
维多利亚3,859586,https://pan.baidu.com/s/1lxlFXgpLC2kyvOTsgk_1mQ,https://cloud.189.cn/t/bu2aAzqQZjqu
药国 Online,"=""096080""",https://pan.baidu.com/s/1TUu_jX2EcMVR_evLSeKBEw,https://cloud.189.cn/t/n2U7RnzaABJj
巅峰 Online,865129,https://pan.baidu.com/s/1CcUEJ1c0LzPVp6T2gFQgkQ,https://cloud.189.cn/t/bui2aaQFFnye
庄园领主,336055,https://pan.baidu.com/s/1NXzTmGAAPGFLACnVTwktBQ,https://cloud.189.cn/t/UJVVvafYVfEb
超市模拟器 Online,315780,https://pan.baidu.com/s/1mPdMGkEN63q_j6GfZyaSIw,https://cloud.189.cn/t/jEjyy2bEr6bq
消防模拟 火苗燃动,302771,https://pan.baidu.com/s/1bgwgOtCOWWzqZAY08R4d3g,https://cloud.189.cn/t/nMbaU37fAvA3
宇宙沙盘,"=""087870""",https://pan.baidu.com/s/14L8iz5EsQL5j4B_nzJpPbQ,https://cloud.189.cn/t/uUnMJjmeiArq
火影忍者 终极风暴羁绊,737048,https://pan.baidu.com/s/1c-7YCsEuyN-rBkR6r1lC8g,https://cloud.189.cn/t/RNN3uumUruye
龙之剑:觉醒,361986,https://pan.baidu.com/s/1qXSuiX-17I14Ds4P6sOC6Q,https://cloud.189.cn/t/vIJrYbfyaYRf
超级鸡马 Online,739411,https://pan.baidu.com/s/1aY-KLS4vMmgo1D7BGn9R2Q,https://cloud.189.cn/t/MnMVVfzuMZZz
极速骑行6,624896,https://pan.baidu.com/s/1PuwrD8OgB9UyAxIfEWz7sw,https://cloud.189.cn/t/ZbIruimaaIFf
多洛可小镇,485960,https://pan.baidu.com/s/1L7TOl-8MXzG-TqYK5qvNmg,https://cloud.189.cn/t/B3AFBvQreyYf
人工智能的选择,"=""069667""",https://pan.baidu.com/s/1ig5btU7xZfrAU9U2S0Gd1g,https://cloud.189.cn/t/2An6zeF3YNnu
一起玩农场2,250338,https://pan.baidu.com/s/1XfomDG96q8wRq9yqvqwzGA,https://cloud.189.cn/t/zA3iYrAFRfeu
深渊之潮,278695,https://pan.baidu.com/s/1T6BlwO_ApnPdG5duU4h_SA,https://cloud.189.cn/t/v6RJJreQFRbm
扭曲之塔,335119,https://pan.baidu.com/s/1m9lPsJe6j6oc41nJ8cdM_g,https://cloud.189.cn/t/NjY7BnJFRfM3
深海远航,692289,https://pan.baidu.com/s/1q8Zyclb1hs3x8DU8_DYm6Q,https://cloud.189.cn/t/YfEri2NfQbQr
宇宙牌加油站,786740,https://pan.baidu.com/s/1Wy0VpznSzmhRJMYDICNhTQ,https://cloud.189.cn/t/ERnErmvMbYzy
FUMES,400606,https://pan.baidu.com/s/1Kh6RyToeT0SekVDWrcbHhw,https://cloud.189.cn/t/Fn67jyq2uI7b
汽车竞速计划,"=""095904""",https://pan.baidu.com/s/18Kte9FBKCx6byv0z7As-nw,https://cloud.189.cn/t/aiQbyyJnmYfq
又一个僵尸幸存者,"=""001735""",https://pan.baidu.com/s/1BxPhqdg6Ao5W2QYF67oGhQ,https://cloud.189.cn/t/UVVRZzbam6Zv
桥梁建造师3,911159,https://pan.baidu.com/s/1NNxHny-ESJvqSJPkP37XFQ,https://cloud.189.cn/t/vUbiyiiM7RFf
Z3002,230921,https://pan.baidu.com/s/13kzqyT1JhE7-oQ9UWb7aJA,https://cloud.189.cn/t/rIbEbuARBzU3
星际勇士,555675,https://pan.baidu.com/s/120xtMnK7e7JsezDvIhM6FQ,https://cloud.189.cn/t/bYJFVrYZVvMj
奶茶店模拟器 重生之我在冰堡甜城当店长,"=""034089""",https://pan.baidu.com/s/1-4TkOcrSGrD3ASk9CwPfzA,https://cloud.189.cn/t/2M3AbqmeaE3i
N3011,910912,https://pan.baidu.com/s/1u3bAEaPEdQSYoT3iaLEkTA,https://cloud.189.cn/t/RbQrEfrIrqie
Y5055,"=""036341""",https://pan.baidu.com/s/1hcCXLDdc8MQ_XsECK3HOlQ,https://cloud.189.cn/t/zIFnae3Ynqii
H5009,699999,https://pan.baidu.com/s/16tFddWQZb4vJ0Sc1c9zbvg,https://cloud.189.cn/t/32aeamURJb2a
棉花小魔女幻想乡,258669,https://pan.baidu.com/s/1liSdL3djE6YfmecbwBzCew,https://cloud.189.cn/t/Iz6bEfUj2E3e
勇敢之地的骑士,631106,https://pan.baidu.com/s/1tDQ7m16-zQgQIQeOLFEhyg,https://cloud.189.cn/t/maUR3e2QVZNj
边缘世界,928586,https://pan.baidu.com/s/1Sib9gfIdK0stbx6rwprqQg,https://cloud.189.cn/t/RjmqyizYNNBv
辐射4,"=""080860""",https://pan.baidu.com/s/1fFXxtSrwFtID9edwrjEw0Q,https://cloud.189.cn/t/2IRzEzbquQbq
仁王3,957246,https://pan.baidu.com/s/1yFE22IdZ6NcaTxw7Vds-Og,https://cloud.189.cn/t/7rmIJrrUVNbi
拆迁,217791,https://pan.baidu.com/s/14r1Kx-WKq3ro2U1QxLcsrw,https://cloud.189.cn/t/YbQzmuzimEBr
零 ～红蝶～ REMAKE,388408,https://pan.baidu.com/s/13OooNJD11BPY4lZqbCLsdQ,https://cloud.189.cn/t/fqi2uq3mIryu
预先号令,"=""014602""",https://pan.baidu.com/s/1MtL_f-zGNqONepFtXi_T5w,https://cloud.189.cn/t/Yv6J7n77VZJb
暗黑地牢,196428,https://pan.baidu.com/s/1PcY4uHkJTW-47evL0P4Myg,https://cloud.189.cn/t/UBjEfeVNziI3
多重人生,830402,https://pan.baidu.com/s/1dSDldSPIyxoGxVsvHuBnHA,https://cloud.189.cn/t/auU773nuyyUn
无敌少侠VS,296236,https://pan.baidu.com/s/1pmHexbeiNp4Eu_RsVhRVDA,https://cloud.189.cn/t/UfaUriAF3aYf
